51;Jose;Not Named;Sumare;Jose;Campinas;56;Neide;Campinas;Not Named;Itatiba;Neide;Americana;54;25
Itatiba;Seila;43;Seila;Campinas;Americana;Maria;Campinas;Santa Barbara;Itatiba;Santa Barbara;Americana;Jose;Campinas;74
Sumare;Itatiba;Seila2;Campinas;Itatiba;Itatiba;10;Campinas;Americana;54;Itatiba;Maria;Santa Barbara;Neide;61
28;Sumare;Americana;Seila;64;Itatiba;Campinas;73;41;Americana;Campinas;Americana;20;19;51
Americana;Itatiba;Itatiba;44;Americana;Americana;Santa Barbara;Sumare;Neide;64;Americana;33;Neide;Neide;Seila
Americana;Itatiba;Campinas;Neide;Campinas;Maria;Neide;Sumare;Neide;Jose;Maria;Seila;Maria;Santa Barbara;Seila2
Not Named;Campinas;71;Santa Barbara;Americana;39;Neide;Neide;22;Itatiba;36;27;Maria;69;Santa Barbara
22;Campinas;Americana;56;Campinas;Itatiba;29;50;Campinas;16;Neide;49;Maria;Campinas;Itatiba
Seila;17;Americana;Seila2;Seila;Sumare;Campinas;Campinas;Not Named;Americana;40;20;Americana;Sumare;Americana
Campinas;Seila;Sumare;Itatiba;Itatiba;Seila2;Campinas;Santa Barbara;Sumare;Americana;Americana;Seila;Santa Barbara;Americana;49
Sumare;Santa Barbara;69;20;Itatiba;Itatiba;49;15;Americana;Itatiba;Jose;Itatiba;Neide;Sumare;67
71;Seila;Maria;Jose;Seila2;Americana;Neide;Jose;63;Americana;Jose;Jose;Itatiba;Seila;Itatiba
Sumare;46;Itatiba;Itatiba;Maria;Maria;Campinas;Americana;Itatiba;Itatiba;Maria;Campinas;Seila2;Seila2;Campinas
Seila2;Seila;Sumare;Sumare;Americana;Americana;Campinas;Seila2;66;Itatiba;Seila2;Neide;Sumare;Americana;Sumare
34;Campinas;Campinas;Campinas;40;Campinas;Americana;67;33;66;Campinas;48;64;Seila2;23
Neide;47;69;Campinas;63;Americana;Campinas;Americana;31;Neide;Jose;Seila;22;63;Itatiba
Seila;40;Itatiba;Seila;Itatiba;Sumare;Santa Barbara;Itatiba;Campinas;Sumare;Campinas;Not Named;Jose;Campinas;50
Seila;Jose;Americana;Seila;17;Maria;Jose;Not Named;54;Sumare;Seila2;Neide;13;Americana;Americana
